時間戳記,檔案版本,暱稱,縣市區,路名（區域）,數量,派送時間,發送狀況,備註,已整理過請打勾
2014/4/8 下午 9:06:05,Bee140405,白色虎頭蜂,台北市士林區,士林捷運站,約150份,4/8/2014,"高職生或是高中生很少拿
大多都是上班族會來索取
","被一位老伯A嗆什麼學校!! 放這個幹嘛!!
然後剛跟我拿文宣的另一個老伯B特意走過來嗆他：你管這麼多!! 台灣都你這種就沒救了。
老伯A就趕快走了
老伯B救援成功...  但還是小心安全 XD
",v
2014/4/8 下午 9:09:31,Bee140405B-W 及 熊熊-最後一本書(A4的1/4),Freedom,新北市蘆洲區,"光華路41巷, 46巷, 46巷21弄, 正和街40巷",167,2014/4/8,"光華路41巷是住商混和，所以雖然晚上了，還有些店面
去發店面時被一隻好小的狗咬了(美容院)! 
他的主人好好的壓 結果狗就衝過來咬我!!
我大叫 結果整條街的人都在看&笑我 =.=
巷子裡小小的 住家真的很多 (塞信塞了一小時 好累)
住宅區就是剛好看到有人回家或路過就發一下
其他塞信箱
只是很多門牌都掉了 雖然看起來有燈光
大概那區公寓都比較舊?","發現發給""活的人""比較有feedback的感覺
(今天隨機發給了快10個人 大家都有收下)
塞了兩天信箱 都會擔心到底住戶會不會看到
或是塞進去就聽到掉到地上的聲音(信箱沒底)
就有點懊惱
之後去捷運站 路邊 或醫院附近發好了",v
2014/4/8 下午 9:12:07,看病,,台北市中正區,和平西路一段26 30號,30,4/8/2014,投無管理員信箱,,v
2014/4/8 下午 9:22:13,Bee140405+監督條例比一比,花枝,新北市新莊區,建安街、民安路、富國路一帶,700,4/12/2014,預計12日周六發送文宣,若有小蜜蜂在建安街、民安路、富國路發送過，請與我(臉書搜尋:azsxdc0805@hotmail.com)聯絡喔!!謝謝~~,v
2014/4/8 下午 9:34:51,Bee140405B,翎肇,很多區,很多路,大約8張,4/8/2014,"1.五股區五工二路駿宏實業廠辦大樓客梯+貨梯布告欄
2.淡水區北新路169巷2號7樓五合一套房公布欄
3.淡水區北新路169巷4號7樓住戶大門
4.中正區寧波東路1號7樓美商科技公司會客室
5.五股區五工二路6號2樓印刷公司打卡鐘上方
6.淡水區北新路福德宮金爐前小平台
",無困難，繼續執行,v
2014/4/8 下午 9:41:21,醫療版,Iris,士林區,福港街149巷、129巷、162巷、大南路251巷,100,2014/04/08,默默塞入住戶信箱,沒遇到什麼困難，經過診所的時候有掙扎一下要不要發給帶小孩來看病的父母親…,v
2014/4/8 下午 9:42:43,Bee140405B-W...服貿x醫療,Mina,新北市土城區],延和路,200,4/8/2014,"投信箱,未詢問店家可否放置店內",,v
2014/4/8 下午 9:42:48,先立法再審查_color_v1.0.pdf,棕熊,高雄市鳳山區,新甲路69號-77號,60,04/08/2014,"先投自家大樓的信箱
",生性膽小，很怕被人看到，只能偷偷摸摸快速丟進去XD,v
2014/4/8 下午 9:52:14,醫療版,小蜜蜂嗡嗡嗡,新北市中和區,"莒光路120,136巷/144號(這邊門牌有點混亂)",100,4/8/103,"晚上八點二十分左右發送
首次以投信箱",,v
2014/4/8 下午 10:00:56,醫療版,成大蜜蜂兩隻,台南市,勝利路138號,50,04/08/2014,大約花了一小時才發完50份,"今天在醫院發的對象多數為40-70歲的中老年就醫族群，
多數仍""不理解服貿的內容與學生的訴求""，
對學運的印象只有: 立院被占，學生反服貿 
因為不清楚服貿的利弊所以不認同學生占立院，
需要對其加以解釋學生已退出，服貿會對醫療造成衝擊。(我不太敢講話主要是同學很厲害orz)",v
2014/4/8 下午 10:11:02,馬政府正在騙我們的事,,台北市萬華區,艋舺大道、桂林路、雙園街,100,103/4/8,無異狀,,v
2014/4/8 下午 10:17:58,Bee140405+醫療三大問題,lovebee,台北市士林區,通河東街一段160巷,50,4/6/2014,投信箱,,v
2014/4/8 下午 10:22:33,Bee140405+醫療三大問題,lovebee,台北市士林區,通河東街一段136巷+通河東街一段155~183號+大南路388巷,100,4/8/2014,投信箱,,v
2014/4/8 下午 10:46:07,Bee140405,王啾啾,桃園縣觀音鄉,中正路到中山路的店家,30,04/08/103,"還是有很多民眾不了解服貿。
大部分都會拿這個版本的傳單！
","遇到一個伯伯他真的被媒體的造神計畫給洗腦，以及對光榮退場覺得荒謬至極。而且覺得只有廷、帆兩人代表全國人民覺得火大。
我有解釋給他聽，他們二位只是發言人，背後還是有團隊討論以及公民参與。

結論還是有沉默的人與受到現實壓力而選擇不相信政府也不關心政治的人民。",v
2014/4/8 下午 10:46:28,服貿X醫療,高雄嗡嗡翁,高雄市,同盟三路,100,04/08/2014,趁無人的時候塞信箱，還會再續印一次,,v
2014/4/8 下午 10:48:42,Bee140405 & 服貿X醫療,新竹野內蜂,新竹市東區,光復路一段89巷121 123 125 127 號,雙面*100,04/08/2014,,,v
2014/4/8 下午 11:36:44,先立法再審查_color_v1.0.pdf,Lace,台中市,美村南路,200,4/8/2014,發送大樓信箱,放了幾張在等電梯的樓梯間，希望有人會看,v
2014/4/8 下午 11:38:26,服貿對看病的影響,秀丁,彰化縣,中興街,50張,4/6/2014,"看到住家外面的信箱就會投一份，
要不然就夾在機車後座的把手上。
算順利，但都沒有當面發放給鄰居。","我自己住家附近是偏中老年齡層的民眾，
所以挑選了醫療相關的議題，
想說跟他們比較切身相關！",v
2014/4/8 下午 11:42:36,Bee140405+服貿X醫療+服貿醫療篇+服貿與健保費+服貿如何影響醫療產業+馬政府正在騙我們的事+為什麼看中天,樁,新北市新莊區,新莊捷運站與新莊國民健康中心,全部約450張,04/08/2014,"捷運站對象為下班的上班族及學生
運動中心對象為長輩與帶小孩來散步，還有運動的人
年輕人大多會看但都不太知道，會知道的就滿瞭，老年要不就很有主見，不然也是不太知道或是只對一部份很了解等....
",.....約1/2或1/3的發送率，可能偶爾遇到很支持或是完全不支持的人，還有人順手撕掉傳單.......但是沒有衝突發生,v
2014/4/8 下午 11:44:47,醫療公聽會版,阿囧,新北市汐止區,汐科火車站北站~汐止火車站之間的診所,14,04/08/2014,準備有註明參考資料來源(醫療公聽會)的版本發送附近的診所,"在文宣上手寫『健康的守護者辛苦了，感謝借用貴診所人氣，讓台灣更健康』，期望診所可以張貼
當與到沒有信箱拉下鐵卷門的人家(通常是生意店面)我會從鐵卷門底下的隙縫將文宣平放進去",v
2014/4/8 下午 11:50:45,醫療版,虎頭蜂,台中市南屯區,東興東街、大墩三街,100,4/8/2014,投遞信箱，很順利～,還是會有點害羞，要繼續加油！,v
2014/4/8 下午 11:54:22,漫畫版 監督條例說明,,淡水區,長興街,50,4/8/2014,晚上塞信箱，所以沒遇到什麼阻礙,,v
2014/4/9 上午 12:13:03,Bee140405B-W  服貿對看病有什麼影響？,Bee>Z,台北市士林區,中正路223巷、中正路225巷、華光街、中興街、華興街,230,04/08/2014,,"讓大家比價一下，我印黑白雙面，一張一元
紙其實選70磅就可以了",v
2014/4/9 上午 12:18:24,第一彈 Bee140405,四方貓嘴,雲林縣斗六市,武陵街  學府華城,每戶都投了一張>___<,04/09/2014,"直接投信箱
","遇到人經過會怕怕...
晚上發真的要記得帶防蚊液，蚊子好多好可怕",v
2014/4/9 上午 12:38:37,http://ppt.cc/gg8Z還有Bee140405B-W.pdf,張瀞方,新北市淡水區,新春街加州社區,400份,04/08/2014,6棟大樓住戶信箱+每棟的電梯布告欄,其實有些信箱投了好幾天.....都不見動靜.....，然後電梯佈告欄因為恥力不足，是自己默默放上的.....所以有被拿掉過XD,v
2014/4/9 上午 12:39:06,Bee140405+為什麼我們要憲政公民會議,Tony,台中市,豐原區(太平洋百貨附近店家),250,20140408,無特別狀況,普遍不清楚學運的訴求以及目的只知道們在反服貿，另外因為文宣字數較多所以只發送給店家(有辦法立即閱讀),v
2014/4/9 上午 12:40:44,Bee140405,La,新北市永和區,頂溪站1號出口,600,4/9/2014,"順利！
五隻小蜜蜂站在離站口有段距離以發傳單的方式，發完！",,v
2014/4/9 上午 12:41:05,Bee140405B&服貿對看病有什麼影響&先立什麼法 兩岸協議監督條例 行政院版vs民間版,Yan,新竹市,姬璃鷗手創食研館(義式手工冰淇淋店)-南大路104號,各50份,04/08/2014,"放店裡供民眾取閱，老闆本人可以向客人說明文宣與反服貿的立場與訴求等詳細內容。
老闆自己會再續印文宣作為贊助與支持，之後可以再回去更替新一版的文宣。""",,v
2014/4/9 上午 12:41:47,Bee140405+為什麼我們要憲政公民會議,Tony,新竹市,食品路寶山路口~西大路西大路97巷口,30,20140408,無特別情況,一般發送,v
2014/4/9 上午 12:46:31,Bee140405B&服貿對看病有什麼影響,Yan,新竹市,新竹市東區食品路439號(劉姐姐早餐店),各50份,04/08/2014,"跟阿姨說明服貿對醫療會有影響的時候，阿姨回應：服貿對很多都有影響啊！能感受到阿姨態度其實頗反服貿的XD
PS：之後去吃早餐時會再確認文宣取用狀況與補充。","一開始和阿姨（最好是店家的老闆，然後趁較無客人的用餐空檔）說明文宣內容，
並詢問是否能放置文宣或夾在桌墊下（提供多種方式讓老闆選擇），
對方回應可以放在櫃檯供民眾自由取用，
至於夾入桌墊下會變成像是店家自己發放的感覺（或許不是每個店員的立場都相同），所以是婉拒的。
不過我覺得不管是貼在牆上或是夾在桌墊下等海報式的方法，其實都有可行性，
不同的方式都可以和店家提問看看，或許有店家可以接受其中一種也不一定，以上是自己與店家協商成功放置文宣的過程和想法。",v
2014/4/9 上午 1:12:16,服貿對看病的影響/兩岸協議監督條例政府民間版比較ㄎfile:///Users/gysmi/Downloads/%E5%85%A9%E5%B2%B8%E7%9B%A3%E7%9D%A3%E6%A2%9D%E4%BE%8B%E6%B0%91%E9%96%93%E7%89%88%E8%88%87%E6%94%BF%E9%99%A2%E7%89%88%E5%B7%AE%E5%88%A5.pdf,女青,台北市內湖區,成功路四段,各250,04/07/2014,投信箱,約晚間十一點多投信箱，中間有住戶從大樓出來，但看到我也是完全忽略，沒有出聲詢問，一切順利,v
2014/4/9 上午 1:22:44,醫療相關但社團裡找不到,,新北市,瓊泰路80巷附近,50,4/8/2014,有一張發給路人，其他皆投入信箱,,v
2014/4/9 上午 1:26:57,服貿對看病有什麼影響(單面)+先立法再審查_color_v1.0,工蜂,台北市大同區,民權西路133巷+承德路三段,100,04/09/2014,因為是半夜12點才開始投，所以很順利(?)，100份(兩種文宣夾成1份)很快就發完了,,v
2014/4/9 上午 1:45:42,小蜜蜂v20140405,JL,桃園縣平鎮市,平德路四巷附近,30,04/08/2014,"晚上九點以後發的。因為這邊的人大多熟識又比較保守，
怕被問問題，所以趁人少的時候行動。",野狗很多很吵。,v
2014/4/9 上午 2:56:34,Bee140405B-W,Ben,新北市板橋區,文化路二段、雙十路二段,500,04/08/2014,信箱投遞，沒門牌的信箱略過，廣告紙太多的略過，大樓略過,,v
2014/4/9 上午 3:18:51,Bee140405B-W 服貿對看病有甚麼影響(單面) 服貿x醫療 你不可不知的三大影響,Ben,新北市板橋區,文化路二段、雙十路二段,共500張,04/08/2014,印了三種隨機發放，信箱投遞，沒門牌的信箱略過，廣告紙太多的略過，大樓略過。,"也是有被狗嚇到，哈哈！剛不小心按到，有勞上面一則刪掉，感恩！
剛看了一下好像有重複到　歪腰",v
2014/4/9 上午 4:43:34,黑箱服貿大破解,愛台灣的一群熱血台灣人,高雄市,"楠梓區 惠民路 德賢路 右昌街 小港(中鋼、中船附近地區) 
鼓山區銘傳路/左營果貿社區   鳳山新富路.海洋路.凱旋路  
前鎮區 一心路 台鋁8巷 周邊  
三民區 陽明路周圍巷子 道明國中附近巷子  ",2500,7/4/2014,此為網路合資份數  一群不同區的高雄鄉民幫忙發放的!,,v
2014/4/9 上午 8:09:58,服貿如何影響我們的醫療產業,北蜂北,高雄市左營區,果峰街,1000份,04/09/14,清晨信箱投遞，其實發的滿快的…,"在陰暗的建築結構下，同時又是鐵票倉的地方發傳單讓我心裡發毛。清晨睡不著起來趴趴走的老人數量不在少數，總有種對上話就不好了的感覺。
在另一方面，個人希望有人能一起響應落馬術（http://share.flog.cc/post/81786715185），希望徵求三至五員並肩作戰（ＦＢ連絡Yang Ming-Kai）。",v
2014/4/9 上午 10:27:27,「吵什麼服貿協議」（彩色）夾「先立法！立什麼發」（黑白）,安揪,臺北市,捷運市府站3號出口週邊,100,4/9/2014,早上上班人潮多，一小時內發完。,"因為不知道捷運站口不能發放所以被捷運工作人員勸離XD，移至ubike站後面公園。有遇到跟我說加油的人，也有看到是服貿文宣就縮手的人。
蜜蜂們加油！",v
2014/4/9 下午 12:17:43,Bee140405,honeybee,台北市,福華路128巷、福國路50巷、56巷、中正路435巷、365巷、349巷,200,4/7-7/9/2014,"塞信箱，太多廣告的跳過
有些信箱A4對折即可投入，有的要摺四折
","之前使用google doc時也擔心會有有心人士故意灌水
現在的話，如果分天發送的話，就要分次填表單(避免有人重複投遞)，不知道這樣google doc會不會因為我分次填就越來越多欄?還是會有人手動分類? 不管如何都有利有敝，謝謝你們願意跳出來扛起這個責任。
向你們致敬 :)
小蜜蜂們會繼續努力~",v
2014/4/9 下午 12:24:28,(黑白A4) 為何要先立法再審查 (漫畫),基基,新店區,大豐路及大豐路41巷,200張,4/6/2014,塞信箱及一家早餐店中逐桌發放,抖抖的XD,v
2014/4/9 下午 3:01:18,Bee140405B-W.pdf,EMMA,桃園縣桃園市,經國路,500,4/9/2014,投遞到附近住戶信箱,折起來發像廣告單,v
2014/4/9 下午 3:39:11,服貿X醫療、服貿保健文宣_2、,小瑞,高雄市旗山區,旗山老街到文中路,200,04/09/2014,被一位藥師說，大陸是醫保，我們是健保，制度又不一樣根本不會受影響。,發送路線詳細地圖：http://i.imgur.com/sakrPJ8.jpg,v
2014/4/9 下午 3:46:22,Bee140405,白色虎頭蜂,士林區,新光醫院,150,9/4/2014,"發送狀況良好，但是太過靠近醫院就會被警衛勸離
必須在文昌路的路口發才行",,v
2014/4/9 下午 3:52:21,政院vs民間版監督條例,milly,新北市三峽區,學成路大英博物館,200,04/07/14,投遞社區信箱,沒有其他非我住戶棟門卡，假裝忘記帶門卡，等人開門時進入。假裝還要拿信，不進電梯，人走了迅速投遞。拆下反服貿布條以免側目。,v
2014/4/9 下午 3:55:53,第二類電信,Vicky,台中市南區,忠明南路1213號,100,04/08/2014,"塞大樓信箱
被24小時都在看中天的警衛官心了一下
所以只發了一小部分= =",,v
2014/4/9 下午 5:53:13,「為什麼要先立法再審查？什麼是兩岸協議監督條例」 以及「服貿對醫療的影響」(雙面25份)、太陽花19個QA(一份),,高雄市三民區,高雄市政府環境保護局南區資源回收廠回饋中心,共26份,4/9/2014,"我放在閱覽的報架及雜誌架
桌球室外的休息區放了幾張","閱覽室內，以今天觀察，注意到的人好像不多。
休息室是室外，感覺有幾張被清潔人員收走了",v
2014/4/9 下午 5:55:43,「為什麼要先立法再審查？什麼是兩岸協議監督條例」 以及「服貿對醫療的影響」(雙面16份)、太陽花19個QA(16份),,高雄市三民區,大中一路110巷52弄,32,4/8、9/2014,"巷子鄰居家~
因為需要低調，所以我只有塞信箱",家裡有個藍的~默默看見文宣立刻被回收，心痛,v
